Data,DEC,FEC,NUM_CONSUM
2000-01-01,0.87,0.78,3160154
2000-02-01,0.54,0.51,3170240
2000-03-01,0.41,0.35,3180660
2000-04-01,0.39,0.4,3139299
2000-05-01,0.43,0.32,3214307
2000-06-01,0.53,0.51,3237913
2000-07-01,0.66,0.56,3396743
2000-08-01,0.52,0.43,3423843
2000-09-01,0.45,0.47,3449434
2000-10-01,0.43,0.39,3546876
2000-11-01,0.58,0.67,3587134
2000-12-01,1.05,1.21,3600795
2001-01-01,1.02,0.94,3403409
2001-02-01,0.76,0.63,3409635
2001-03-01,0.81,0.62,3423639
2001-04-01,0.81,0.64,3432676
2001-05-01,0.42,0.41,3500144
2001-06-01,0.39,0.34,3475981
2001-07-01,0.55,0.58,3454053
2001-08-01,0.16,0.08,3462578
2001-09-01,0.4,0.48,3467489
2001-10-01,0.41,0.32,3472420
2001-11-01,0.5,0.41,3472198
2001-12-01,0.84,0.66,3477668
2002-01-01,3.34,1.96,3487171
2002-02-01,0.43,0.39,3490398
2002-03-01,0.48,0.42,3494657
2002-04-01,0.26,0.21,3505758
2002-05-01,0.33,0.41,3513962
2002-06-01,0.36,0.38,3521623
2002-07-01,0.42,0.47,3526879
2002-08-01,0.54,0.5,3530536
2002-09-01,1.73,0.7,3536818
2002-10-01,0.31,0.26,3543830
2002-11-01,1.04,0.63,3548522
2002-12-01,0.81,0.62,3553180
2003-01-01,1.3,0.97,3561090
2003-02-01,0.58,0.52,3567855
2003-03-01,0.9,0.55,3574229
2003-04-01,0.32,0.26,3578860
2003-05-01,0.49,0.34,3586074
2003-06-01,0.53,0.42,3591525
2003-07-01,0.54,0.46,3432390
2003-08-01,0.67,0.48,3454831
2003-09-01,0.41,0.31,3498081
2003-10-01,0.52,0.38,3546498
2003-11-01,1.19,0.6,3567723
2003-12-01,1.28,0.92,3588599
2004-01-01,0.93,0.9,3615596
2004-02-01,0.94,0.75,3668144
2004-03-01,0.44,0.37,3690010
2004-04-01,0.63,0.44,3611393
2004-05-01,0.37,0.3,3624163
2004-06-01,0.44,0.36,3653531
2004-07-01,0.7,0.59,3656476
2004-08-01,0.46,0.37,3663907
2004-09-01,0.57,0.39,3671104
2004-10-01,0.56,0.43,3680651
2004-11-01,1.35,0.75,3690153
2004-12-01,0.89,0.71,3688489
2005-01-01,1.85,1.85,3700073
2005-02-01,0.47,0.48,3703492
2005-03-01,0.64,0.74,3710996
2005-04-01,1.16,0.66,3718859
2005-05-01,0.49,0.41,3724889
2005-06-01,0.38,0.35,3732317
2005-07-01,0.56,0.57,3737756
2005-08-01,0.46,0.42,3746282
2005-09-01,0.37,0.36,3753441
2005-10-01,1.04,0.71,3754411
2005-11-01,0.53,0.46,3767229
2005-12-01,0.83,0.67,3770498
2006-01-01,1.44,1.04,3767229
2006-02-01,0.95,0.73,3778849
2006-03-01,0.64,0.49,3744520
2006-04-01,0.37,0.3,3761003
2006-05-01,0.39,0.29,3763542
2006-06-01,0.39,0.38,3770114
2006-07-01,0.64,0.55,3776805
2006-08-01,0.5,0.42,3779830
2006-09-01,0.54,0.38,3782532
2006-10-01,0.45,0.47,3775030
2006-11-01,0.68,0.55,3774370
2006-12-01,0.99,0.71,3781646
2007-01-01,0.86,0.73,3786952
2007-02-01,0.75,0.5,3784625
2007-03-01,0.64,0.44,3800068
2007-04-01,0.68,0.47,3808817
2007-05-01,0.51,0.35,3815792
2007-06-01,0.57,0.46,3825020
2007-07-01,0.87,0.61,3833971
2007-08-01,0.61,0.45,3839239
2007-09-01,0.77,0.49,3845320
2007-10-01,0.7,0.45,3849310
2007-11-01,0.82,0.5,3854150
2007-12-01,1.3,0.92,3859461
2008-01-01,1.69,0.92,3873458
2008-02-01,1.22,0.68,3877070
2008-03-01,1.2,0.64,3877886
2008-04-01,0.79,0.45,3881428
2008-05-01,0.59,0.38,3879117
2008-06-01,0.79,0.46,3882879
2008-07-01,0.92,0.65,3904132
2008-08-01,0.86,0.6,3906718
2008-09-01,0.62,0.41,3914504
2008-10-01,0.81,0.52,3917332
2008-11-01,0.72,0.47,3918955
2008-12-01,0.84,0.58,3922817
2009-01-01,0.99,0.69,3891919
2009-02-01,0.91,0.53,3893326
2009-03-01,0.85,0.49,3895727
2009-04-01,0.48,0.29,3897145
2009-05-01,0.54,0.36,3899429
2009-06-01,0.57,0.45,3904645
2009-07-01,0.76,0.47,3908829
2009-08-01,0.77,0.49,3920205
2009-09-01,0.71,0.42,3931944
2009-10-01,0.65,0.36,3935754
2009-11-01,5.36,1.77,3940536
2009-12-01,1.4,0.79,3944221
2010-01-01,1.92,0.87,3948394
2010-02-01,0.74,0.34,3953473
2010-03-01,1.18,0.51,3955957
2010-04-01,0.86,0.41,3957319
2010-05-01,0.59,0.37,3960767
2010-06-01,0.65,0.37,3964622
2010-07-01,0.72,0.43,3970546
2010-08-01,0.75,0.45,3974234
2010-09-01,0.97,0.53,3979583
2010-10-01,0.9,0.47,3988331
2010-11-01,0.75,0.36,3994665
2010-12-01,1.3,0.64,3993632
2011-01-01,3.01,1.13,3998724
2011-02-01,2.04,0.89,3997553
2011-03-01,1.08,0.52,4006431
2011-04-01,0.96,0.46,4015506
2011-05-01,0.8,0.46,4023249
2011-06-01,1.33,0.68,4024762
2011-07-01,1.12,0.56,4032084
2011-08-01,1.12,0.55,4031431
2011-09-01,0.81,0.48,4041495
2011-10-01,1.46,0.67,4041451
2011-11-01,0.91,0.47,4039544
2011-12-01,2.09,0.9,4054009
2012-01-01,2.72,1.14,4064478
2012-02-01,1.52,0.65,4068093
2012-03-01,1.61,0.83,3997698
2012-04-01,0.9,0.48,3955888
2012-05-01,0.65,0.34,3932453
2012-06-01,0.92,0.46,3927267
2012-07-01,1,0.49,3927528
2012-08-01,0.83,0.48,3920880
2012-09-01,1.45,0.69,3920177
2012-10-01,1.75,0.74,3918384
2012-11-01,1.14,0.62,3917383
2012-12-01,3.61,1.44,3932461
2013-01-01,2.81,1.13,3967525
2013-02-01,1.92,0.87,3978490
2013-03-01,2.59,0.92,3983279
2013-04-01,1.02,0.59,3993945
2013-05-01,1.45,0.65,3994329
2013-06-01,0.97,0.46,4005822
2013-07-01,1.17,0.61,4017888
2013-08-01,0.95,0.51,4025000
2013-09-01,1.08,0.63,4030484
2013-10-01,1.05,0.58,4037270
2013-11-01,1.48,0.68,4047876
2013-12-01,2.23,0.79,4058037
2014-01-01,1.96,0.89,4071424
2014-02-01,1.23,0.68,4071856
2014-03-01,0.95,0.54,4051086
2014-04-01,0.79,0.5,4080858
2014-05-01,0.57,0.36,4094096
2014-06-01,0.62,0.36,4100579
2014-07-01,0.62,0.39,4106876
2014-08-01,0.91,0.5,4112844
2014-09-01,1.03,0.54,4117884
2014-10-01,0.98,0.55,4138627
2014-11-01,1.05,0.5,4127852
2014-12-01,1.64,0.77,4152822
2015-01-01,2.12,0.98,4158052
2015-02-01,1.7,0.68,4165268
2015-03-01,1.13,0.54,4171504
2015-04-01,1.02,0.45,4184236
2015-05-01,0.71,0.33,4187958
2015-06-01,0.68,0.39,4197290
2015-07-01,0.66,0.38,4201989
2015-08-01,0.65,0.45,4180404
2015-09-01,1,0.56,4200972
2015-10-01,0.72,0.42,4206986
2015-11-01,0.9,0.53,4206499
2015-12-01,1.33,0.72,4204706
2016-01-01,1.02,0.55,4201292
2016-02-01,2.04,0.84,4194416
2016-03-01,1.08,0.53,4192445
2016-04-01,0.84,0.47,4227168
2016-05-01,0.64,0.47,4226946
2016-06-01,0.58,0.36,4228529
2016-07-01,0.45,0.29,4230165
2016-08-01,1.18,0.94,4234744
2016-09-01,0.64,0.39,4242679
2016-10-01,0.72,0.36,4248596
2016-11-01,1.18,0.65,4292292
2016-12-01,1.33,0.61,4296163
2017-01-01,1.92,0.82,4299692
2017-02-01,0.98,0.44,4292495
2017-03-01,1.02,0.59,4307637
2017-04-01,0.64,0.38,4312526
2017-05-01,0.43,0.32,4316804
2017-06-01,0.47,0.29,4319245
2017-07-01,0.4,0.3,4328178
2017-08-01,0.67,0.48,4328613
2017-09-01,0.54,0.3,4348438
2017-10-01,0.75,0.52,4409584
2017-11-01,0.64,0.43,4404599
2017-12-01,0.7,0.4,4377589
